Name,Genre,Synopsis,Author
To Kill a Mockingbird,Fiction, A novel about racial injustice in the Deep South seen through the eyes of a young girl named Scout Finch.,Harper Lee
1984,Dystopian, A chilling depiction of a totalitarian society under the surveillance of Big Brother.,George Orwell
The Great Gatsby,Classic, A story of the mysterious Jay Gatsby and his quest to win back his former lover set in the Roaring Twenties.,F. Scott Fitzgerald
Pride and Prejudice,Classic, A romantic novel that critiques the British class system through the life and loves of Elizabeth Bennet.,Jane Austen
The Catcher in the Rye,Literary Fiction, A novel about teenage angst and alienation narrated by the troubled Holden Caulfield.,J.D. Salinger
Harry Potter and the Sorcerer's Stone,Fantasy, The first book in the Harry Potter series where a young wizard begins his journey at Hogwarts School of Witchcraft and Wizardry.,J.K. Rowling
The Lord of the Rings,Fantasy, An epic fantasy trilogy about the quest to destroy a powerful ring and defeat the Dark Lord Sauron.,J.R.R. Tolkien
Jane Eyre,Classic, A coming-of-age story about a young orphaned girl who becomes a governess and falls in love with her employer.,Charlotte Brontë
The Hobbit,Fantasy, A prelude to The Lord of the Rings where Bilbo Baggins goes on an adventure to help dwarves reclaim their homeland.,J.R.R. Tolkien
Brave New World,Dystopian, A satirical novel about a technologically advanced society where humans are engineered for specific roles.,Aldous Huxley
The Chronicles of Narnia,Fantasy, A series of seven fantasy novels that revolve around the adventures of children in the magical land of Narnia.,C.S. Lewis
Fahrenheit 451,Dystopian, A novel about a future society where books are banned and 'firemen' burn any that are found.,Ray Bradbury
Catch-22,Satire, A darkly humorous novel about World War II soldiers and the absurdities of war centered on the term 'Catch-22'.,Joseph Heller
Animal Farm,Political Satire, A fable about a group of farm animals who overthrow their human farmer only to face a new tyranny.,George Orwell
The Alchemist,Adventure, A philosophical book about a shepherd named Santiago who dreams of finding a treasure and embarks on a journey of self-discovery.,Paulo Coelho
One Hundred Years of Solitude,Magical Realism, A novel that chronicles the Buendía family's multi-generational saga in the fictional town of Macondo.,Gabriel García Márquez
The Shining, Horror, A chilling story about a family that becomes isolated in an haunted hotel and the father's descent into madness.,Stephen King
